name,price_level,rating,types,user_ratings_total,lat,lng,closest_metro,closest_metro_km,Quantity of nearest museum,Quantity of nearest art_gallery,Quantity of nearest shopping_mall,Quantity of nearest places_tourist_attraction,Quantity of nearest same establishment,opportunity_take_away,"distance_to_center, km",result
Shato,2.0,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",86.0,59.8391037,30.3510737,['Звёздная'],0.6596926110484282,1,1,15,1,34,0,10.698911410465968,378.40000000000003
Baton,,4.6,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",12.0,59.83704399999999,30.3518651,['Звёздная'],0.44345235692601337,1,1,13,1,36,0,10.932329997303484,55.199999999999996
"Пекарня ""У Вольчека""",1.0,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",111.0,59.8365833,30.3518554,['Звёздная'],0.3943425659547505,1,1,15,1,38,0,10.983076059543102,499.5
Khinkal'naya,,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",62.0,59.8371416,30.3581264,['Звёздная'],0.6464247648755443,0,1,15,1,35,0,10.976317827125527,272.8
просто vkusno,2.0,4.8,"['cafe', 'food', 'point_of_interest', 'establishment']",30.0,59.835733,30.3510039,['Звёздная'],0.2897305096355479,3,1,21,1,35,0,11.070386481154754,144.0
Coffee Like,2.0,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",22.0,59.8341326,30.3518964,['Звёздная'],0.16282275142934186,3,1,22,1,36,0,11.253816021973053,94.6
Tsekh85,2.0,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",365.0,59.83544999999999,30.3450941,['Звёздная'],0.354381103555033,3,1,21,1,36,0,11.062183855503385,1678.9999999999998
Foxy burrow,,4.1,"['cafe', 'food', 'point_of_interest', 'establishment']",19.0,59.83348,30.3515893,['Звёздная'],0.11416922850139564,3,1,23,1,36,0,11.323527239515974,77.89999999999999
Tiramisu,,4.8,"['cafe', 'food', 'point_of_interest', 'establishment']",28.0,59.8382219,30.357148100000003,['Звёздная'],0.6985300515150858,0,1,15,1,34,0,10.848388293686735,134.4
Хочу-Пури/Giros,,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,59.8365579,30.35188830000001,['Звёздная'],0.3922565955406975,1,1,15,1,38,0,10.986135614777435,25.799999999999997
Baking of Tandoor,,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",7.0,59.8352998,30.35112920000001,['Звёздная'],0.2459227138003909,3,1,21,1,35,0,11.119155396964873,30.800000000000004
Tsekh85,2.0,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",152.0,59.8352295,30.35008349999999,['Звёздная'],0.22452193881450108,3,1,23,1,38,0,11.119208754155215,684.0
Stolovaya,,3.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.83415650000001,30.351504100000003,['Звёздная'],0.14802730659405886,3,1,23,1,35,0,11.248199349018533,7.0
Etlon Coffee,,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",10.0,59.83387070000001,30.3481995,['Звёздная'],0.10694517929465998,3,1,21,1,36,0,11.2563995223452,43.0
Etlon Coffee,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.833862,30.3482104,['Звёздная'],0.1058426491462198,3,1,21,1,36,0,11.257434120732546,15.0
Пироговый Дворик,2.0,4.6,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",346.0,59.83325019999999,30.350345500000003,['Звёздная'],0.04098545228814216,3,1,23,1,36,0,11.339784785960882,1591.6
Shaverma 24 Hours,,3.9,"['cafe', 'food', 'point_of_interest', 'establishment']",75.0,59.8329022,30.3496544,['Звёздная'],0.036361024724703095,3,1,23,1,36,0,11.37337333024239,292.5
Bubble Time,,2.7,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.8362637,30.34213549999999,['Звёздная'],0.5388474349720763,3,1,17,0,34,0,10.955819510446025,8.100000000000001
Chaynikoff,2.0,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",97.0,59.8325031,30.3509879,['Звёздная'],0.1115424549051294,3,1,23,1,36,0,11.426964071777508,407.40000000000003
